"Bookings","","","","","","",""
"Booking ID","Item","Start Time","Start Date","# of Pax","Total","Net Revenue Collected","Affiliate"
"#141212387","LISSICRO","08:00am","2022-09-29","2","€239.98","€149.98","Civitatis - EUR"
"#141091230","LISSICRO","08:00am","2022-09-29","3","€299.97","€239.97","Airbnb"
"#135359847","MADTRESC","08:00am","2022-09-29","3","€359.97","€251.97","GetYourGuide - EUR"
"#140499426","MADDUERO","08:00am","2022-09-29","2","€339.98","€254.98","GetYourGuide - EUR"
"#141261743","BCNMOHAM","08:30am","2022-09-29","2","€119.98","€77.98","GetYourGuide - EUR"
"#141223107","BCNMOHAM","08:30am","2022-09-29","2","€119.98","€77.98","GetYourGuide - EUR"
"#140995427","BCNMOHAM","08:30am","2022-09-29","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#140741168","BCNMOHAM","08:30am","2022-09-29","1","€59.99","€38.99","GetYourGuide - EUR"
"#140252822","BCNMOHAM","08:30am","2022-09-29","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#139510215","BCNMOHAM","08:30am","2022-09-29","2","€119.98","€77.98","GetYourGuide - EUR"
"#138800428","BCNMOHAM","08:30am","2022-09-29","2","€119.98","€77.98","GetYourGuide - EUR"
"#135003117","BCNMOHAM","08:30am","2022-09-29","2","€119.98","€89.98","Activities Bank (HotelBeds)"
"#132312864","BCNMOHAM","08:30am","2022-09-29","1","€59.99","€41.99","GetYourGuide - EUR"
"#139394737","BCNMORAM/PM","08:30am","2022-09-29","2","€219.98","€175.98","Airbnb"
"#139237896","BCNMORAM/PM","08:30am","2022-09-29","2","€219.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138601369","BCNMORAM/PM","08:30am","2022-09-29","6","€659.94","€530.58","TripAdvisor Experiences/Viator - EUR"
"#141037575","LISEBIAM","09:00am","2022-09-29","2","€99.98","€69.98","GetYourGuide - EUR"
"#141040974","BCNPENAM/PM","09:00am","2022-09-29","1","€109.99","€76.99","GetYourGuide - EUR"
"#135525698","BCNPENAM/PM","09:00am","2022-09-29","3","€329.97","€263.97","Airbnb"
